geoid,name,B08303001 - Total:,"B08303001 - Total:, Error",B08303002 - Less than 5 minutes,"B08303002 - Less than 5 minutes, Error",B08303003 - 5 to 9 minutes,"B08303003 - 5 to 9 minutes, Error",B08303004 - 10 to 14 minutes,"B08303004 - 10 to 14 minutes, Error",B08303005 - 15 to 19 minutes,"B08303005 - 15 to 19 minutes, Error",B08303006 - 20 to 24 minutes,"B08303006 - 20 to 24 minutes, Error",B08303007 - 25 to 29 minutes,"B08303007 - 25 to 29 minutes, Error",B08303008 - 30 to 34 minutes,"B08303008 - 30 to 34 minutes, Error",B08303009 - 35 to 39 minutes,"B08303009 - 35 to 39 minutes, Error",B08303010 - 40 to 44 minutes,"B08303010 - 40 to 44 minutes, Error",B08303011 - 45 to 59 minutes,"B08303011 - 45 to 59 minutes, Error",B08303012 - 60 to 89 minutes,"B08303012 - 60 to 89 minutes, Error",B08303013 - 90 or more minutes,"B08303013 - 90 or more minutes, Error"
14000US25025000100,"Census Tract 1, Suffolk, MA",1760,353,26,30,53,45,197,88,208,142,278,149,53,41,464,223,68,48,85,61,202,99,112,64,14,21
14000US25025000201,"Census Tract 2.01, Suffolk, MA",2069,275,59,48,90,50,138,75,287,119,433,192,125,62,327,117,67,54,135,59,297,137,89,50,22,33
14000US25025000202,"Census Tract 2.02, Suffolk, MA",1725,301,24,27,129,69,96,85,149,69,208,85,217,111,543,190,7,13,91,54,168,89,80,57,13,17
14000US25025000301,"Census Tract 3.01, Suffolk, MA",1267,238,0,12,99,69,167,83,150,101,190,82,106,69,285,119,25,25,127,83,85,55,33,30,0,12
14000US25025000302,"Census Tract 3.02, Suffolk, MA",1712,287,10,15,99,65,37,34,171,97,249,78,136,58,429,122,56,41,149,143,190,100,147,87,39,29
14000US25025000401,"Census Tract 4.01, Suffolk, MA",2482,416,0,17,56,43,137,64,370,135,284,166,321,161,440,142,88,58,175,95,366,137,233,140,12,19
14000US25025000402,"Census Tract 4.02, Suffolk, MA",1681,254,12,24,151,98,151,91,161,100,243,103,85,53,239,104,73,35,173,87,275,96,94,53,24,34
14000US25025000502,"Census Tract 5.02, Suffolk, MA",2377,359,48,44,318,126,364,123,244,103,240,128,96,52,356,113,72,64,193,83,247,82,169,79,30,47
14000US25025000503,"Census Tract 5.03, Suffolk, MA",1209,201,0,12,39,39,54,44,32,32,141,70,66,42,245,100,148,133,106,62,245,103,133,91,0,12
14000US25025000504,"Census Tract 5.04, Suffolk, MA",2485,349,0,12,61,56,63,47,160,68,227,106,113,64,844,208,165,98,205,107,466,164,181,83,0,12
