geoid,name,total,timeunder5,time5to9,time10to14,time15to19,time20to24,time25to29,time30to34,time35to39,time40to44,time45to49,time60to89,timeover90
14000US25025000100,"Census Tract 1, Suffolk, MA",1760,26,53,197,208,278,53,464,68,85,202,112,14
14000US25025000201,"Census Tract 2.01, Suffolk, MA",2069,59,90,138,287,433,125,327,67,135,297,89,22
14000US25025000202,"Census Tract 2.02, Suffolk, MA",1725,24,129,96,149,208,217,543,7,91,168,80,13
14000US25025000301,"Census Tract 3.01, Suffolk, MA",1267,0,99,167,150,190,106,285,25,127,85,33,0
14000US25025000302,"Census Tract 3.02, Suffolk, MA",1712,10,99,37,171,249,136,429,56,149,190,147,39
14000US25025000401,"Census Tract 4.01, Suffolk, MA",2482,0,56,137,370,284,321,440,88,175,366,233,12
14000US25025000402,"Census Tract 4.02, Suffolk, MA",1681,12,151,151,161,243,85,239,73,173,275,94,24
14000US25025000502,"Census Tract 5.02, Suffolk, MA",2377,48,318,364,244,240,96,356,72,193,247,169,30
14000US25025000503,"Census Tract 5.03, Suffolk, MA",1209,0,39,54,32,141,66,245,148,106,245,133,0
14000US25025000504,"Census Tract 5.04, Suffolk, MA",2485,0,61,63,160,227,113,844,165,205,466,181,0
14000US25025000601,"Census Tract 6.01, Suffolk, MA",1520,19,58,108,218,135,51,354,83,135,316,25,18
14000US25025000602,"Census Tract 6.02, Suffolk, MA",1694,0,73,113,209,237,134,364,46,123,247,102,46
14000US25025000701,"Census Tract 7.01, Suffolk, MA",2055,0,86,71,165,177,142,435,135,347,160,257,80
14000US25025000703,"Census Tract 7.03, Suffolk, MA",1403,35,49,85,114,276,62,424,12,160,81,105,0
14000US25025000704,"Census Tract 7.04, Suffolk, MA",2312,0,22,202,183,390,64,444,129,291,368,162,57
14000US25025000802,"Census Tract 8.02, Suffolk, MA",4421,8,239,532,604,571,237,793,82,439,537,313,66
14000US25025000803,"Census Tract 8.03, Suffolk, MA",1937,187,354,287,341,252,78,230,0,59,98,15,36
14000US25025010103,"Census Tract 101.03, Suffolk, MA",1392,141,405,263,195,87,72,123,5,32,50,4,15
14000US25025010104,"Census Tract 101.04, Suffolk, MA",2217,138,273,364,344,415,109,257,27,70,150,45,25
14000US25025010203,"Census Tract 102.03, Suffolk, MA",2576,43,282,260,683,398,381,228,89,73,111,15,13
14000US25025010204,"Census Tract 102.04, Suffolk, MA",1556,37,380,199,200,246,61,220,28,31,44,108,2
14000US25025010300,"Census Tract 103, Suffolk, MA",1894,198,542,348,233,167,69,154,10,15,121,31,6
14000US25025010403,"Census Tract 104.03, Suffolk, MA",1307,18,200,82,90,283,122,104,22,39,220,108,19
14000US25025010404,"Census Tract 104.04, Suffolk, MA",1998,164,433,498,227,256,57,157,9,85,96,16,0
14000US25025010405,"Census Tract 104.05, Suffolk, MA",2302,201,571,308,246,270,107,273,7,62,156,82,19
14000US25025010408,"Census Tract 104.08, Suffolk, MA",1053,0,20,100,267,130,62,321,30,73,21,29,0
14000US25025010500,"Census Tract 105, Suffolk, MA",1498,74,221,189,242,239,113,184,24,54,63,74,21
14000US25025010600,"Census Tract 106, Suffolk, MA",1546,28,105,293,161,303,127,242,94,73,91,20,9
14000US25025010701,"Census Tract 107.01, Suffolk, MA",1869,62,170,297,246,289,195,264,0,119,133,73,21
